Year,Beat,crime_counts,avg_response_time
2010,CC,1,1.07
2014,SD,1,1.12
2018,DSPVD,1,1.25
2014,HBR,1,1.32
2012,CMD4,1,1.48
2011,CTY,1,1.83
2014,XDD,1,1.92
2019,SWT,1,2.22
2018,ES,1,2.45
2018,CCD,1,5.37
2018,ODD,1,5.42
2018,WS,1,5.62
2017,DS,1,5.85
2014,RS,1,6.1
2019,SPVD,1,6.63
2012,OS,1,6.68
2014,WS,1,6.77
2014,GS,1,6.82
2018,SP,1,7.25
2012,CTY,2,7.33
2019,MS,1,7.45
2013,DET,1,8.3
2010,W,3,9.44
2014,CD,1,10.6
2015,COMM,12,10.753333333333332
2016,INV,2,10.850000000000001
2018,SPVD,1,11.35
2015,CD,4,11.605
2009,COMM,2,11.84
2010,H3,1,11.85
2010,E2,2869,12.092087835482713
2019,WS,1,12.15
2017,INV,6,12.350000000000001
2011,E2,3243,12.355260561208762
2010,K3,3712,12.411379310344843
2011,K3,3725,12.466295302013444
2019,SPVDD,27,12.50148148148148
2011,TQ,3,12.693333333333333
2017,E2,4130,12.69675544794191
2011,M3,3036,12.70849802371542
2012,E2,3404,12.730164512338408
2010,K2,2813,12.761112691077148
2016,E2,4320,12.794724537037068
2018,E2,3904,12.802996926229527
2011,K2,2818,12.991657203690583
2014,CCD,2,13.114999999999998
2011,G2,3220,13.164633540372678
2010,G2,2971,13.289313362504238
2013,E2,4047,13.305905609093186
2013,H2,1,13.35
2015,E2,4362,13.36580467675382
2010,M3,2702,13.375699481865274
2019,K3,5140,13.618422178988359
2014,E2,4257,13.665835095137453
2014,CMD4,1,13.67
2013,G2,3299,13.697223401030616
2010,F2,2258,13.716147032772358
2011,E1,3093,13.745767862916301
2013,SWT,2,13.75
2010,G3,2223,13.762226720647751
2011,H2,1,13.8
2010,E1,3479,13.801319344639285
2016,E3,3832,13.841834551148226
2019,O1,2256,13.842047872340446
2012,G2,3298,13.907889630078854
2018,E3,4198,13.909595045259678
2011,E3,3173,13.914954301922501
2011,F2,2395,13.923056367432165
2019,E2,3016,13.941157161803723
2010,G1,2008,13.957908366533829
2012,K3,3878,13.965224342444584
2016,CDD,28,13.971785714285716
2009,E2,1635,14.015951070336389
2011,D1,4470,14.057959731543635
2011,G1,2033,14.059365469749128
2018,K3,5944,14.080499663526245
2010,U2,3323,14.138411074330412
2013,K3,3969,14.14847820609726
2013,G3,2411,14.205213604313576
2011,K1,2948,14.24249660786972
2012,M3,2978,14.250819341840154
2011,G3,2216,14.283713898916945
2011,M2,2648,14.287156344410903
2010,M2,2663,14.290574539992475
2012,E1,3539,14.299115569369896
2011,Q3,3586,14.3037479085332
2019,F2,2630,14.309821292775661
2010,Q3,3771,14.327576239724202
2014,CDD,38,14.343157894736848
2017,E3,3907,14.346549782441741
2019,TAC2,5,14.362
2010,D2,3230,14.368959752321949
2016,G1,2253,14.381229471815358
2013,E1,4057,14.407744638895762
2016,S2,2999,14.42124041347116
2015,S2,3464,14.4291859122402
2010,K1,3022,14.431859695565812
2017,S2,2942,14.437416723317464
2016,E1,4842,14.437823213548164
2011,L3,3263,14.439963224026965
2012,S2,3763,14.456508105235178
2010,S2,3141,14.46100604902895
2011,U2,3709,14.478978161229476
2017,CDD,42,14.480714285714285
2013,M3,3310,14.494432024169189
2010,E3,3295,14.513954476479519
2016,O1,2518,14.518836378077845
2010,C1,2383,14.527582878724305
2017,K3,5448,14.540803964757743
2013,K2,3166,14.54680985470625
2013,INV,4,14.5625
2011,D2,3025,14.582552066115682
2017,M3,3922,14.600081591024981
2014,S2,3896,14.600136036960988
2017,F2,3337,14.60238537608632
2009,TDD,1,14.63
2019,K2,3561,14.635130581297394
2019,N,4,14.647499999999997
2016,K3,5081,14.656784097618544
2016,G2,2833,14.664666431344838
2011,U1,4627,14.670287443267805
2012,K2,2763,14.673814694173004
2019,M3,2923,14.689938419432101
2015,S1,2765,14.693222423146459
2016,S1,2866,14.70292742498259
2010,C3,2975,14.703247058823516
2019,M2,2854,14.704456902592836
2009,K3,2099,14.704683182467846
2013,N,21,14.707619047619048
2015,M3,3572,14.723241881298986
2017,E1,4920,14.723804878048762
2018,G1,2389,14.739828380075375
2012,F2,2837,14.746609094113461
2017,K2,3990,14.756907268170464
2011,D3,2948,14.773300542740838
2011,L1,3115,14.78897271268058
2017,G1,2429,14.80272540139974
2009,M3,1559,14.804310455420117
2012,G1,2200,14.81659545454544
2012,D1,3727,14.825986047759626
2019,COMM,56,14.835892857142857
2015,G1,2408,14.851071428571421
2016,M2,3881,14.901695439319766
2011,S2,3352,14.918266706443923
2010,U1,4521,14.932399911523996
2009,G2,1928,14.942826763485474
2013,U2,4390,14.944277904328048
2015,M2,3689,14.953269178639198
2009,E1,1909,14.959172341540087
2009,G3,1352,14.960894970414182
2011,L2,3348,14.965310633213896
2016,K2,3678,14.979872213159323
2013,W,5,14.992
2019,E3,3689,14.99277310924369
2012,M2,3122,15.001040999359322
2011,C3,2909,15.002684771399116
2014,G2,3042,15.021512163050597
2014,E1,4149,15.03568329718004
2019,K1,2985,15.04787604690119
2015,E1,4165,15.054636254501803
2010,F1,3114,15.06032113037892
2016,K1,4009,15.062955849339007
2009,HS,1,15.08
2011,M1,3133,15.080849026492178
2016,F2,3503,15.081672851841278
2012,G3,2221,15.087955875731655
2014,K3,4225,15.088740828402404
2010,D3,3092,15.092280077619606
2015,G2,3119,15.107098428983702
2016,O2,2036,15.110653241650272
2010,D1,4471,15.112994855736964
2014,TQ,2,15.115
2013,S2,3722,15.119927458355718
2011,O3,1719,15.122268760907504
2012,U2,4276,15.14088400374182
2011,N3,3186,15.146462649089733
2015,K3,4740,15.150329113924032
2013,M2,3161,15.153796267004125
2010,N3,3125,15.154598400000005
2015,E3,3859,15.18132158590308
2012,N3,3322,15.18288982540641
2014,G1,2175,15.200363218390805
2012,M1,3257,15.202112373349662
2016,M3,3450,15.202405797101436
2009,G1,1270,15.224976377952775
2011,O1,1838,15.226430903155595
2010,W2,3088,15.23886981865283
2011,C1,2266,15.2422771403354
2017,M2,3404,15.243322561692189
2018,E1,4144,15.244102316602337
2009,S2,1866,15.244764201500555
2017,G2,2856,15.247314425770305
2018,M3,3705,15.253973009446693
2013,D1,3870,15.258586563307551
2014,K2,3315,15.2613785822021
2014,M3,3623,15.278015456803761
2018,G2,2795,15.28313774597494
2012,U1,5134,15.297183482664575
2010,L1,2956,15.32766914749666
2018,K2,3796,15.342610642781858
2015,F2,3412,15.346500586166497
2013,F2,3119,15.353805706957347
2010,O3,1717,15.376394874781607
2014,M2,3425,15.380654014598504
