Year,BEAT,Crime Group,Crime Category,crime_counts
2008,B1,Person Crime,Aggravated Assault,23
2008,B1,Person Crime,Homicide,1
2008,B1,Person Crime,Rape,2
2008,B1,Person Crime,Robbery,20
2008,B1,Property Crime,Burglary,127
2008,B1,Property Crime,Larceny-Theft,553
2008,B1,Property Crime,Motor Vehicle Theft,76
2008,B2,Person Crime,Aggravated Assault,25
2008,B2,Person Crime,Rape,3
2008,B2,Person Crime,Robbery,21
2008,B2,Property Crime,Arson,3
2008,B2,Property Crime,Burglary,175
2008,B2,Property Crime,Larceny-Theft,748
2008,B2,Property Crime,Motor Vehicle Theft,156
2008,B3,Person Crime,Aggravated Assault,22
2008,B3,Person Crime,Rape,2
2008,B3,Person Crime,Robbery,21
2008,B3,Property Crime,Burglary,215
2008,B3,Property Crime,Larceny-Theft,574
2008,B3,Property Crime,Motor Vehicle Theft,143
2008,C1,Person Crime,Aggravated Assault,10
2008,C1,Person Crime,Rape,1
2008,C1,Person Crime,Robbery,19
2008,C1,Property Crime,Burglary,126
2008,C1,Property Crime,Larceny-Theft,312
2008,C1,Property Crime,Motor Vehicle Theft,96
2008,C2,Person Crime,Aggravated Assault,10
2008,C2,Person Crime,Rape,1
2008,C2,Person Crime,Robbery,15
2008,C2,Property Crime,Burglary,115
2008,C2,Property Crime,Larceny-Theft,243
2008,C2,Property Crime,Motor Vehicle Theft,63
2008,C3,Person Crime,Aggravated Assault,23
2008,C3,Person Crime,Homicide,1
2008,C3,Person Crime,Rape,3
2008,C3,Person Crime,Robbery,34
2008,C3,Property Crime,Burglary,202
2008,C3,Property Crime,Larceny-Theft,273
2008,C3,Property Crime,Motor Vehicle Theft,61
2008,D1,Person Crime,Aggravated Assault,56
2008,D1,Person Crime,Rape,4
2008,D1,Person Crime,Robbery,39
2008,D1,Property Crime,Arson,1
2008,D1,Property Crime,Burglary,106
2008,D1,Property Crime,Larceny-Theft,554
2008,D1,Property Crime,Motor Vehicle Theft,67
2008,D2,Person Crime,Aggravated Assault,29
2008,D2,Person Crime,Rape,3
2008,D2,Person Crime,Robbery,21
2008,D2,Property Crime,Arson,1
2008,D2,Property Crime,Burglary,121
2008,D2,Property Crime,Larceny-Theft,616
2008,D2,Property Crime,Motor Vehicle Theft,61
2008,D3,Person Crime,Aggravated Assault,29
2008,D3,Person Crime,Rape,8
2008,D3,Person Crime,Robbery,32
2008,D3,Property Crime,Burglary,157
2008,D3,Property Crime,Larceny-Theft,882
2008,D3,Property Crime,Motor Vehicle Theft,72
2008,E1,Person Crime,Aggravated Assault,28
2008,E1,Person Crime,Rape,1
2008,E1,Person Crime,Robbery,33
2008,E1,Property Crime,Arson,3
2008,E1,Property Crime,Burglary,98
2008,E1,Property Crime,Larceny-Theft,326
2008,E1,Property Crime,Motor Vehicle Theft,77
2008,E2,Person Crime,Aggravated Assault,47
2008,E2,Person Crime,Homicide,1
2008,E2,Person Crime,Rape,2
2008,E2,Person Crime,Robbery,36
2008,E2,Property Crime,Arson,1
2008,E2,Property Crime,Burglary,52
2008,E2,Property Crime,Larceny-Theft,530
2008,E2,Property Crime,Motor Vehicle Theft,59
2008,E3,Person Crime,Aggravated Assault,28
2008,E3,Person Crime,Homicide,6
2008,E3,Person Crime,Rape,3
2008,E3,Person Crime,Robbery,40
2008,E3,Property Crime,Arson,2
2008,E3,Property Crime,Burglary,102
2008,E3,Property Crime,Larceny-Theft,586
2008,E3,Property Crime,Motor Vehicle Theft,69
2008,F1,Person Crime,Aggravated Assault,24
2008,F1,Person Crime,Rape,5
2008,F1,Person Crime,Robbery,17
2008,F1,Property Crime,Arson,1
2008,F1,Property Crime,Burglary,113
2008,F1,Property Crime,Larceny-Theft,248
2008,F1,Property Crime,Motor Vehicle Theft,62
2008,F2,Person Crime,Aggravated Assault,21
2008,F2,Person Crime,Rape,3
2008,F2,Person Crime,Robbery,27
2008,F2,Property Crime,Arson,2
2008,F2,Property Crime,Burglary,100
2008,F2,Property Crime,Larceny-Theft,283
2008,F2,Property Crime,Motor Vehicle Theft,67
2008,F3,Person Crime,Aggravated Assault,30
2008,F3,Person Crime,Homicide,1
2008,F3,Person Crime,Rape,3
2008,F3,Person Crime,Robbery,20
2008,F3,Property Crime,Arson,1
2008,F3,Property Crime,Burglary,147
2008,F3,Property Crime,Larceny-Theft,233
2008,F3,Property Crime,Motor Vehicle Theft,79
2008,G1,Person Crime,Aggravated Assault,36
2008,G1,Person Crime,Rape,2
2008,G1,Person Crime,Robbery,42
2008,G1,Property Crime,Burglary,60
2008,G1,Property Crime,Larceny-Theft,273
